,case,rmse,privacy,real,uniform,nclasses,uniform_original
9567,2tt_14_exponential,270.396005887661,2,t,1,14,0
9568,2mf_14_exponential,181.630654767798,2,m,0,14,0
9569,2mt_14_exponential,549.2899962679095,2,m,1,14,0
9570,2tfNone_14_exponential,20.64140431268903,2,t,0,14,0
9571,2ff_14_exponential,198.26492605916013,2,f,0,14,0
9572,2ft_14_exponential,551.4267857113944,2,f,1,14,0
9573,2tt_14_exponential,269.3798433439295,2,t,1,14,0
9574,2mf_14_exponential,217.76767456646917,2,m,0,14,0
9575,2mt_14_exponential,527.3907469798839,2,m,1,14,0
9576,2tfNone_14_exponential,19.987022789801895,2,t,0,14,0
9577,2ff_14_exponential,187.3151760407335,2,f,0,14,0
9578,2ft_14_exponential,533.8866920986137,2,f,1,14,0
9579,2tt_14_exponential,260.35360569809666,2,t,1,14,0
9580,2mf_14_exponential,194.7692590709915,2,m,0,14,0
9581,2mt_14_exponential,560.0071428115895,2,m,1,14,0
9582,2tfNone_14_exponential,29.92937289687206,2,t,0,14,0
9583,2ff_14_exponential,211.9603807476648,2,f,0,14,0
9584,2ft_14_exponential,526.1648981070479,2,f,1,14,0
9585,2tt_14_exponential,263.7631513308863,2,t,1,14,0
9586,2mf_14_exponential,254.36741852135117,2,m,0,14,0
9587,2mt_14_exponential,542.7338205787437,2,m,1,14,0
9588,2tfNone_14_exponential,12.208578623246057,2,t,0,14,0
9589,2ff_14_exponential,154.96366374483577,2,f,0,14,0
9590,2ft_14_exponential,525.4574197782348,2,f,1,14,0
9591,2tt_14_exponential,271.41204836926454,2,t,1,14,0
9592,2mf_14_exponential,221.36132845285954,2,m,0,14,0
9593,2mt_14_exponential,560.2637771621506,2,m,1,14,0
9594,2tfNone_14_exponential,28.370797944361097,2,t,0,14,0
9595,2ff_14_exponential,206.36421110297835,2,f,0,14,0
9596,2ft_14_exponential,520.5468278646985,2,f,1,14,0
9597,2tt_14_exponential,272.14150730823843,2,t,1,14,0
9598,2mf_14_exponential,173.5921002805278,2,m,0,14,0
